view,api,permission
SubjectFormVerificationVerifyCheckedView,/api/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:visit_id>/forms/<int:crf_template_id>/verification/verify-checked/,SDV.MARK
SubjectFormVerificationReopenView,/api/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:visit_id>/forms/<int:crf_template_id>/verification/reopen/,SDV.MARK
SubjectFormVerificationFinalizePageDataView,/api/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:visit_id>/forms/<int:crf_template_id>/verification/finalize-page-data/,SDV.MARK
SubjectFormVerificationLockPageView,/api/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:visit_id>/forms/<int:crf_template_id>/verification/lock-page/,DATA.LOCK
SubjectFormVerificationQueryThreadView,/api/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:visit_id>/forms/<int:crf_template_id>/verification/query-thread/,SDV.MARK; action cancel: QUERY.CANCEL; action close: QUERY.CLOSE; action reopen: QUERY.RETURN; action request_clarification: QUERY.RETURN; action resolve: QUERY.CLOSE
SubjectFormVerificationOpenQueryView,/api/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:visit_id>/forms/<int:crf_template_id>/verification/open-query/,SDV.MARK
SubjectValidationIssueAcknowledgeView,/api/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:visit_id>/forms/<int:crf_template_id>/validation-issues/acknowledge/,VALIDATION_ISSUE.ACKNOWLEDGE
SubjectAddRepeatingEventInstanceView,/studies/<int:study_id>/subjects/<int:subject_id>/event-definitions/<int:event_definition_id>/add-another/,SUBJECT.UPDATE
SubjectTriggerWorkflowView,/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:event_instance_id>/trigger-workflow/,SUBJECT.UPDATE
SubjectDetailView,/studies/<int:study_id>/subjects/<int:subject_id>/,SUBJECT.VIEW
SubjectEventInstanceFileImportView,/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:event_instance_id>/files/import/,SUBJECT.UPDATE
SubjectEventInstanceFilePreviewView,/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:event_instance_id>/files/,SUBJECT.VIEW
SubjectEventInstanceFileContentView,/studies/<int:study_id>/subjects/<int:subject_id>/events/<int:event_instance_id>/files/<int:file_id>/content/,SUBJECT.VIEW
QueryWorkbenchView,/studies/<int:study_id>/queries/,reconcile.view_dataquery
QueryDetailView,/studies/<int:study_id>/queries/<int:query_id>/,reconcile.view_dataquery
